season,lg,team,abbreviation,playoffs,age,w,l,pw,pl,mov,sos,srs,o_rtg,d_rtg,n_rtg,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,drb_percent,opp_ft_fga,arena,attend,attend_g
2023,NBA,Philadelphia 76ers,PHI,1,28.2,54.0,28.0,52.0,30.0,4.32,0.06,4.37,117.7,113.3,4.4,96.9,0.3,0.389,0.608,56.3,12.6,21.6,25.0,0.541,13.0,77.2,0.217,Wells Fargo Center,839261.0,20470.0
2023,NBA,Phoenix Suns,PHO,1,28.1,45.0,37.0,46.0,36.0,2.07,0.01,2.08,115.1,113.0,2.1,98.2,0.241,0.362,0.57,53.5,12.0,26.6,19.1,0.532,12.9,76.0,0.234,Footprint Center,699911.0,17071.0
2023,NBA,Portland Trail Blazers,POR,0,25.1,33.0,49.0,31.0,51.0,-4.01,0.05,-3.96,114.8,118.8,-4.0,98.6,0.289,0.413,0.589,54.900000000000006,13.1,22.4,23.0,0.563,12.1,74.9,0.217,Moda Center,767374.0,18716.0
2023,NBA,Sacramento Kings,SAC,1,25.4,48.0,34.0,47.0,35.0,2.65,-0.35,2.3,119.4,116.8,2.6,100.3,0.284,0.423,0.608,57.199999999999996,12.0,22.7,22.5,0.563,12.6,77.2,0.203,Golden 1 Center,715491.0,17451.0
2023,NBA,San Antonio Spurs,SAS,0,23.9,22.0,60.0,19.0,63.0,-10.04,0.22,-9.82,110.2,120.0,-9.8,101.6,0.229,0.348,0.554,52.5,13.0,25.6,17.0,0.576,12.0,74.9,0.201,AT&T Center,694434.0,15508.0
2023,NBA,Toronto Raptors,TOR,0,25.8,41.0,41.0,45.0,37.0,1.48,0.12,1.59,115.5,114.0,1.5,97.1,0.257,0.351,0.555,51.7,10.3,27.8,20.1,0.565,15.3,76.7,0.223,Scotiabank Arena,811261.0,19787.0
2023,NBA,Utah Jazz,UTA,0,26.5,37.0,45.0,39.0,43.0,-0.94,-0.09,-1.03,115.8,116.7,-0.9,100.5,0.265,0.421,0.584,54.7,13.3,26.8,20.9,0.541,10.9,75.2,0.205,Vivint Arena,728240.0,17762.0
2023,NBA,Washington Wizards,WAS,0,26.2,35.0,47.0,38.0,44.0,-1.21,0.15,-1.06,114.4,115.6,-1.2,98.6,0.258,0.365,0.585,55.00000000000001,12.7,22.6,20.200000000000003,0.54,11.0,76.1,0.194,Capital One Arena,710481.0,17329.0
2022,NBA,Atlanta Hawks,ATL,1,26.1,43.0,39.0,45.0,37.0,1.56,-0.01,1.55,116.5,114.9,1.6,97.7,0.253,0.39,0.581,54.300000000000004,10.8,23.0,20.5,0.543,11.5,76.9,0.177,State Farm Arena,672742.0,16408.0
2022,NBA,Boston Celtics,BOS,1,26.1,51.0,31.0,59.0,23.0,7.28,-0.26,7.02,114.4,106.9,7.5,96.6,0.239,0.425,0.578,54.2,12.4,24.0,19.5,0.502,12.5,77.3,0.183,TD Garden,785396.0,19156.0
2022,NBA,Brooklyn Nets,BRK,1,29.1,44.0,38.0,43.0,39.0,0.78,0.04,0.82,113.6,112.8,0.8,99.0,0.246,0.359,0.576,54.0,12.5,23.9,19.8,0.521,11.7,75.1,0.201,Barclays Center,711539.0,17355.0
2022,NBA,Chicago Bulls,CHI,1,26.3,46.0,36.0,40.0,42.0,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,0.248,0.332,0.579,54.1,11.8,20.4,20.1,0.541,11.9,78.3,0.199,United Center,856148.0,20882.0
2022,NBA,Charlotte Hornets,CHO,0,25.5,43.0,39.0,42.0,40.0,0.44,0.09,0.53,114.1,113.7,0.4,100.0,0.234,0.418,0.572,54.400000000000006,11.6,23.3,17.299999999999997,0.544,13.1,74.8,0.187,Spectrum Center,700755.0,17092.0
2022,NBA,Cleveland Cavaliers,CLE,0,24.7,44.0,38.0,47.0,35.0,2.12,-0.08,2.04,111.9,109.7,2.2,96.1,0.261,0.387,0.571,53.800000000000004,13.2,24.0,19.8,0.52,12.3,76.5,0.172,Rocket Mortgage Fieldhouse,758228.0,18493.0
2022,NBA,Dallas Mavericks,DAL,1,26.7,52.0,30.0,50.0,32.0,3.3,-0.18,3.12,112.8,109.4,3.4,95.4,0.249,0.439,0.572,53.800000000000004,11.7,21.3,19.2,0.521,12.2,78.0,0.185,American Airlines Center,808037.0,19708.0
2022,NBA,Denver Nuggets,DEN,1,27.7,48.0,34.0,47.0,35.0,2.3,-0.15,2.16,114.5,112.1,2.4,97.8,0.244,0.416,0.59,55.60000000000001,13.2,21.9,19.400000000000002,0.537,11.7,78.3,0.188,Ball Arena,695262.0,16958.0
2022,NBA,Detroit Pistons,DET,0,23.6,23.0,59.0,22.0,60.0,-7.72,0.37,-7.36,106.0,113.8,-7.8,98.4,0.249,0.391,0.533,49.4,12.6,23.4,19.400000000000002,0.541,13.1,75.6,0.226,Little Caesars Arena,663556.0,16184.0
2022,NBA,Golden State Warriors,GSW,1,27.6,53.0,29.0,55.0,27.0,5.54,-0.02,5.52,112.5,106.9,5.6,98.4,0.235,0.456,0.582,55.2,13.5,22.8,18.099999999999998,0.509,13.0,78.7,0.201,Chase Center,740624.0,18064.0
2022,NBA,Houston Rockets,HOU,0,24.1,20.0,62.0,21.0,61.0,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,0.284,0.448,0.565,53.400000000000006,14.5,21.7,20.200000000000003,0.554,12.3,74.4,0.206,Toyota Center,638977.0,15585.0
2022,NBA,Indiana Pacers,IND,0,26.0,25.0,57.0,32.0,50.0,-3.48,0.22,-3.26,112.6,116.1,-3.5,98.0,0.239,0.395,0.564,53.1,12.7,25.5,18.4,0.552,11.9,76.2,0.204,Gainbridge Fieldhouse,588743.0,14360.0
2022,NBA,Los Angeles Clippers,LAC,0,27.5,42.0,40.0,41.0,41.0,0.02,0.06,0.09,110.1,110.1,0.0,98.0,0.224,0.391,0.564,53.1,12.5,20.6,17.8,0.514,12.0,74.4,0.167,Crypto.com Arena,694005.0,16927.0
2022,NBA,Los Angeles Lakers,LAL,0,30.2,33.0,49.0,33.0,49.0,-3.05,-0.03,-3.08,110.3,113.3,-3.0,100.1,0.259,0.388,0.567,53.7,12.8,21.1,19.0,0.54,12.2,75.8,0.192,Crypto.com Arena,764631.0,18650.0
2022,NBA,Memphis Grizzlies,MEM,1,24.0,56.0,26.0,55.0,27.0,5.68,-0.32,5.37,114.6,109.0,5.6,100.3,0.245,0.346,0.553,52.2,11.2,30.0,18.0,0.523,13.3,77.8,0.195,FedEx Forum,646785.0,15775.0
2022,NBA,Miami Heat,MIA,1,28.2,53.0,29.0,53.0,29.0,4.45,-0.22,4.23,113.7,109.1,4.6,95.9,0.252,0.422,0.584,54.7,13.4,23.5,20.4,0.524,13.8,78.0,0.209,FTX Arena,804761.0,19628.0
2022,NBA,Milwaukee Bucks,MIL,1,28.5,51.0,31.0,49.0,33.0,3.35,-0.14,3.22,115.1,111.8,3.3,99.9,0.257,0.43,0.58,54.6,11.9,23.0,19.900000000000002,0.536,11.6,78.6,0.165,Fiserv Forum,715581.0,17453.0
2022,NBA,Minnesota Timberwolves,MIN,1,24.2,46.0,36.0,48.0,34.0,2.63,-0.1,2.53,114.3,111.7,2.6,100.9,0.254,0.454,0.573,53.900000000000006,12.4,24.4,19.8,0.535,14.2,74.9,0.227,Target Center,657148.0,16028.0
2022,NBA,New Orleans Pelicans,NOP,1,25.6,36.0,46.0,38.0,44.0,-0.99,0.15,-0.84,112.0,113.0,-1.0,97.2,0.264,0.365,0.557,51.7,12.5,26.9,20.8,0.547,13.0,78.2,0.196,Smoothie King Center,635941.0,15511.0
2022,NBA,New York Knicks,NYK,0,26.0,37.0,45.0,41.0,41.0,-0.12,0.11,-0.01,110.4,110.5,-0.1,95.9,0.28,0.428,0.55,51.300000000000004,12.0,25.1,20.8,0.521,11.7,78.8,0.198,Madison Square Garden (IV),763484.0,18622.0
2022,NBA,Oklahoma City Thunder,OKC,0,22.4,24.0,58.0,21.0,61.0,-8.1,0.2,-7.9,104.6,112.8,-8.2,98.6,0.223,0.419,0.53,49.7,12.5,21.8,16.900000000000002,0.533,11.8,76.1,0.169,Paycom Center,595112.0,14515.0
2022,NBA,Orlando Magic,ORL,0,23.3,22.0,60.0,21.0,61.0,-8.0,0.33,-7.67,104.5,112.5,-8.0,99.2,0.223,0.417,0.538,50.3,13.0,19.8,17.5,0.532,11.7,77.2,0.196,Amway Center,622881.0,15192.0
2022,NBA,Philadelphia 76ers,PHI,1,26.8,51.0,31.0,48.0,34.0,2.61,-0.04,2.57,113.5,110.8,2.7,96.2,0.282,0.376,0.578,53.400000000000006,11.6,20.1,23.200000000000003,0.524,12.1,76.8,0.192,Wells Fargo Center,846867.0,20655.0
2022,NBA,Phoenix Suns,PHO,1,27.5,64.0,18.0,59.0,23.0,7.5,-0.56,6.94,114.8,107.3,7.5,99.8,0.221,0.354,0.581,54.900000000000006,11.6,22.3,17.599999999999998,0.51,13.0,77.1,0.195,Phoenix Suns Arena,663171.0,16175.0
2022,NBA,Portland Trail Blazers,POR,0,25.6,27.0,55.0,20.0,62.0,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,0.248,0.422,0.55,51.5,13.0,22.9,18.8,0.559,12.7,76.9,0.222,Moda Center,705608.0,17210.0
2022,NBA,Sacramento Kings,SAC,0,25.8,30.0,52.0,28.0,54.0,-5.46,0.2,-5.26,109.9,115.3,-5.4,99.8,0.264,0.377,0.561,52.5,12.5,21.3,20.3,0.551,11.9,76.0,0.176,Golden 1 Center,577583.0,14087.0
2022,NBA,San Antonio Spurs,SAS,0,24.5,34.0,48.0,41.0,41.0,0.12,-0.1,0.02,112.4,112.3,0.1,100.0,0.22,0.345,0.556,52.7,11.1,23.7,16.6,0.532,12.1,75.1,0.176,AT&T Center,615588.0,15014.0
2022,NBA,Toronto Raptors,TOR,1,24.8,48.0,34.0,47.0,35.0,2.29,0.08,2.38,112.9,110.5,2.4,96.0,0.234,0.375,0.543,51.0,11.0,28.4,17.7,0.535,14.4,75.6,0.199,Scotiabank Arena,547343.0,13350.0
2022,NBA,Utah Jazz,UTA,1,29.3,49.0,33.0,56.0,26.0,6.04,-0.37,5.67,116.7,110.5,6.2,97.1,0.271,0.468,0.589,55.50000000000001,12.7,25.4,20.8,0.521,10.9,78.3,0.164,Vivint Smart Home Arena,750546.0,18306.0
2022,NBA,Washington Wizards,WAS,0,25.9,35.0,47.0,32.0,50.0,-3.38,0.15,-3.23,111.1,114.5,-3.4,97.0,0.252,0.356,0.568,53.2,12.1,20.9,19.7,0.529,10.7,76.9,0.202,Capital One Arena,637215.0,15542.0
2021,NBA,Atlanta Hawks,ATL,1,25.4,41.0,31.0,41.0,31.0,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,53.900000000000006,11.9,24.4,22.6,0.53,11.1,77.8,0.19,State Farm Arena,59288.0,1647.0
2021,NBA,Boston Celtics,BOS,1,25.1,36.0,36.0,39.0,33.0,1.46,-0.14,1.32,114.0,112.5,1.5,98.3,0.234,0.409,0.574,54.300000000000004,12.5,24.3,18.099999999999998,0.539,12.8,78.1,0.215,TD Garden,30067.0,835.0
2021,NBA,Brooklyn Nets,BRK,1,28.2,48.0,24.0,46.0,26.0,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,57.49999999999999,12.2,21.4,20.8,0.531,11.1,77.3,0.187,Barclays Center,30491.0,847.0
2021,NBA,Chicago Bulls,CHI,0,25.6,31.0,41.0,34.0,38.0,-0.89,-0.05,-0.94,111.1,112.0,-0.9,99.0,0.197,0.383,0.575,54.7,13.6,22.3,15.6,0.538,11.6,80.3,0.196,United Center,13655.0,379.0
2021,NBA,Charlotte Hornets,CHO,0,24.6,33.0,39.0,32.0,40.0,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,53.2,13.3,23.5,18.099999999999998,0.55,13.2,75.7,0.163,Spectrum Center,68255.0,1896.0
2021,NBA,Cleveland Cavaliers,CLE,0,24.0,22.0,50.0,18.0,54.0,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,50.8,13.9,23.6,19.400000000000002,0.556,13.0,76.6,0.183,Rocket Mortgage Fieldhouse,91476.0,2541.0
